Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,READM-30-AMI-HRRP,READM-30-COPD-HRRP,READM-30-HF-HRRP,READM-30-HIP-KNEE-HRRP,READM-30-PN-HRRP,Central line-associated blood stream infections (CLABSI),Catheter-Associated Urinary Tract Infections (CAUTI),Surgical Site Infection from colon surgery (SSI: Colon),Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy),Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections),Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections),Payment for heart attack patients,SCIP-Inf-1_Achievement Points,SCIP-Inf-2_Achievement Points,SCIP-Inf-3_Achievement Points,SCIP-Inf-4_Achievement Points,SCIP-Inf-9_Achievement Points,Communication with Nurses Achievement Points,Communication with Doctors Achievement Points,Responsiveness of Hospital Staff Achievement Points,Pain Management Achievement Points,Communication about Medicines Achievement Points,Cleanliness and Quietness of Hospital Environment Achievement Points,Discharge Information Achievement Points,Overall Rating of Hospital Achievement Points,HF-1 Achievement Points,MORT-30-AMI Achievement Points,MORT-30-HF Achievement Points,MORT-30-PN Performance Rate,PN-3b Achievement Points,PN-6 Achievement Points,SCIP-Card-2 Achievement Points,SCIP-VTE-2 Achievement Points,Weighted Clinical Process of Care Domain Score,Weighted Patient Experience of Care Domain Score,Weighted Outcome Domain Score,Weighted Efficiency Domain Score,Total Performance Score,Home Health Agency,Hospice,Inpatient,Outpatient,Skilled Nursing Facility,Durable Medical Equipment,Carrier,Medicare hospital spending per patient (Medicare Spending per Beneficiary),Median
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,Not Available,19,20.2,6.2,17.7,Not Available,Not Available,Not Available,Not Available,Not Available,0.000,Not Available,10 out of 10,10 out of 10,0 out of 10,Not Available,10 out of 10,4 out of 10,4 out of 10,2 out of 10,0 out of 10,4 out of 10,5 out of 10,4 out of 10,1 out of 10,10 out of 10,Not Available,5 out of 10,0.89042,10 out of 10,0 out of 10,0 out of 10,0 out of 10,12.8888888889,15.9,14,6,48.7888888889,$681 ,$246 ,"$2,142 ",$344 ,"$2,865 ",$75 ,$810 ,0.96,"40,315"
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,Not Available,16.5,19.5,Not Available,15.1,Not Available,Not Available,Not Available,Not Available,Not Available,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10 out of 10,10 out of 10,9 out of 10,5 out of 10,1 out of 10,7 out of 10,8 out of 10,5 out of 10,0 out of 10,Not Available,Not Available,0.90155,0 out of 10,1 out of 10,Not Available,Not Available,Not Available,28.125,28.125,12.5,68.75,$773 ,$199 ,"$1,799 ",$307 ,"$1,933 ",$75 ,$696 ,0.96,"38,464"
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,17.9,19.8,23.7,5.3,19.2,0.394,0.803,0.182,Not Available,1.915,0.575,20589,0 out of 10,0 out of 10,0 out of 10,3 out of 10,0 out of 10,2 out of 10,3 out of 10,0 out of 10,0 out of 10,3 out of 10,2 out of 10,1 out of 10,1 out of 10,6 out of 10,8 out of 10,0 out of 10,0.88104,0 out of 10,0 out of 10,0 out of 10,0 out of 10,2.7272727273,9.9,16.2,0,28.8272727273,$920 ,$129 ,"$3,758 ",$777 ,"$2,360 ",$208 ,"$1,073 ",1.02,"43,827"
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,16.3,19.6,21.8,5.5,15.5,0.713,1.148,0.460,0.000,2.686,1.167,22804,9 out of 10,10 out of 10,0 out of 10,0 out of 10,5 out of 10,3 out of 10,5 out of 10,1 out of 10,5 out of 10,5 out of 10,4 out of 10,3 out of 10,3 out of 10,0 out of 10,2 out of 10,5 out of 10,0.88448,10 out of 10,6 out of 10,0 out of 10,4 out of 10,10.1818181818,15,17.4,0,42.5818181818,$826 ,$119 ,"$3,743 ",$632 ,"$2,452 ",$138 ,"$1,054 ",1.02,"59,961"
10029,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,18,17.4,19.7,5.1,14.7,1.272,2.400,0.217,0.329,0.728,0.501,21642,7 out of 10,7 out of 10,7 out of 10,6 out of 10,9 out of 10,5 out of 10,8 out of 10,4 out of 10,4 out of 10,7 out of 10,6 out of 10,6 out of 10,5 out of 10,4 out of 10,5 out of 10,0 out of 10,0.87576,10 out of 10,5 out of 10,8 out of 10,9 out of 10,14.9090909091,19.5,6.6,12,53.0090909091,$886 ,$172 ,"$1,767 ",$689 ,"$1,714 ",$124 ,$760 ,0.89,"37,923"
10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,36278,RANDOLPH,Not Available,18.8,21.1,Not Available,18.1,Not Available,Not Available,Not Available,Not Available,Not Available,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4 out of 10,4 out of 10,8 out of 10,3 out of 10,1 out of 10,7 out of 10,2 out of 10,0 out of 10,0 out of 10,Not Available,Not Available,0.88884,0 out of 10,0 out of 10,Not Available,Not Available,Not Available,19.5,24.375,25,68.875,$856 ,$152 ,"$1,324 ",$359 ,"$1,919 ",$80 ,$739 ,0.87,"36,663"
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,19.7,22.2,24,6.8,20.8,0.801,1.892,0.367,0.864,1.644,0.891,21149,10 out of 10,8 out of 10,7 out of 10,2 out of 10,4 out of 10,7 out of 10,6 out of 10,3 out of 10,6 out of 10,7 out of 10,4 out of 10,5 out of 10,9 out of 10,5 out of 10,8 out of 10,2 out of 10,0.89772,10 out of 10,5 out of 10,0 out of 10,5 out of 10,13.8181818182,20.1,15.6,4,53.5181818182,$769 ,$108 ,"$3,448 ",$841 ,"$1,174 ",$243 ,"$1,052 ",0.96,"12,468"
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,Not Available,17.9,21.7,Not Available,16,Not Available,Not Available,Not Available,Not Available,Not Available,0.773,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10 out of 10,10 out of 10,6 out of 10,3 out of 10,8 out of 10,7 out of 10,9 out of 10,6 out of 10,0 out of 10,Not Available,3 out of 10,0.89234,3 out of 10,0 out of 10,Not Available,Not Available,Not Available,29.625,21.25,7.5,58.375,$762 ,$180 ,"$1,929 ",$392 ,"$2,778 ",$89 ,$795 ,0.92,"41,203"
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,17,20.3,20.8,5.6,17.8,0.000,0.333,0.466,Not Available,0.000,0.391,20483,7 out of 10,10 out of 10,7 out of 10,Not Available,9 out of 10,5 out of 10,7 out of 10,4 out of 10,7 out of 10,4 out of 10,5 out of 10,2 out of 10,3 out of 10,8 out of 10,1 out of 10,1 out of 10,0.89708,1 out of 10,10 out of 10,6 out of 10,10 out of 10,15.6,17.4,18.6,2,53.6,$937 ,$222 ,"$2,229 ",$538 ,"$3,621 ",$114 ,$943 ,0.97,"41,246"
10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,Not Available,18.4,20.8,5.1,15.4,Not Available,0.000,Not Available,Not Available,Not Available,0.000,Not Available,10 out of 10,6 out of 10,6 out of 10,Not Available,10 out of 10,0 out of 10,5 out of 10,2 out of 10,2 out of 10,6 out of 10,4 out of 10,5 out of 10,0 out of 10,10 out of 10,Not Available,0 out of 10,0.86228,4 out of 10,0 out of 10,10 out of 10,10 out of 10,15.1111111111,12.3,6,10,43.4111111111,"$1,225 ",$223 ,"$1,157 ",$434 ,"$2,548 ",$80 ,$822 ,0.90,"37,369"
10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,CALHOUN,17.3,18.1,23.4,5.7,17.4,Not Available,0.972,Not Available,Not Available,Not Available,0.352,21248,0 out of 10,0 out of 10,10 out of 10,Not Available,5 out of 10,0 out of 10,2 out of 10,0 out of 10,0 out of 10,0 out of 10,3 out of 10,0 out of 10,0 out of 10,0 out of 10,Not Available,4 out of 10,0.89043,5 out of 10,0 out of 10,2 out of 10,7 out of 10,6.6666666667,5.7,14,2,28.3666666667,$937 ,$153 ,"$2,211 ",$475 ,"$2,218 ",$78 ,$955 ,0.98,"25,135"
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,15.2,19.2,23.2,5,16.6,0.697,0.949,0.653,1.378,1.314,0.647,20804,0 out of 10,5 out of 10,6 out of 10,9 out of 10,6 out of 10,3 out of 10,2 out of 10,2 out of 10,2 out of 10,6 out of 10,4 out of 10,4 out of 10,4 out of 10,0 out of 10,6 out of 10,0 out of 10,0.86881,8 out of 10,0 out of 10,4 out of 10,5 out of 10,10.5454545455,14.1,13.2,0,37.8454545455,$892 ,$96 ,"$3,012 ",$586 ,"$2,856 ",$139 ,"$1,172 ",1.02,"60,686"
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,15.2,18.8,22.6,7.6,16.2,0.207,0.124,0.000,0.000,3.424,0.879,22175,10 out of 10,2 out of 10,0 out of 10,4 out of 10,0 out of 10,2 out of 10,0 out of 10,1 out of 10,1 out of 10,2 out of 10,1 out of 10,2 out of 10,1 out of 10,0 out of 10,10 out of 10,0 out of 10,0.85513,10 out of 10,3 out of 10,0 out of 10,0 out of 10,6,8.7,11.4,2,28.1,$912 ,$172 ,"$3,564 ",$426 ,"$2,135 ",$126 ,"$1,089 ",1.04,"36,687"
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,MARION,Not Available,18,20.6,Not Available,13.7,Not Available,Not Available,Not Available,Not Available,Not Available,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10 out of 10,10 out of 10,10 out of 10,9 out of 10,10 out of 10,10 out of 10,3 out of 10,9 out of 10,10 out of 10,Not Available,Not Available,0.87991,4 out of 10,0 out of 10,Not Available,Not Available,Not Available,34.5,15,22.5,72,"$1,115 ",$192 ,$906 ,$357 ,"$1,659 ",$151 ,$583 ,0.81,"35,494"
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,Not Available,21,20.9,Not Available,18.5,Not Available,Not Available,Not Available,Not Available,Not Available,0.885,Not Available,Not Available,Not Available,Not Available,Not Available,10 out of 10,10 out of 10,10 out of 10,10 out of 10,10 out of 10,10 out of 10,10 out of 10,10 out of 10,10 out of 10,10 out of 10,Not Available,Not Available,0.89556,0 out of 10,6 out of 10,Not Available,0 out of 10,12.8,30,24,16,82.8,$981 ,$35 ,"$1,183 ",$318 ,"$2,181 ",$95 ,$651 ,0.87,"34,741"
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,18.1,19.4,25.1,6.5,19.2,2.343,2.311,0.000,Not Available,2.114,1.746,23098,7 out of 10,0 out of 10,0 out of 10,0 out of 10,8 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,0 out of 10,2 out of 10,0 out of 10,0 out of 10,10 out of 10,Not Available,0 out of 10,0.90377,4 out of 10,0 out of 10,0 out of 10,7 out of 10,6.7272727273,4.5,14.25,0,25.4772727273,$830 ,$178 ,"$2,952 ",$647 ,"$2,127 ",$108 ,"$1,186 ",1.02,"37,795"
10047,GEORGIANA MEDICAL CENTER,515 N MIRANDA AVENUE,GEORGIANA,AL,36033,BUTLER,Not Available,18.5,21.2,Not Available,14.8,Not Available,Not Available,Not Available,Not Available,Not Available,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10 out of 10,10 out of 10,9 out of 10,6 out of 10,10 out of 10,10 out of 10,4 out of 10,7 out of 10,Not Available,Not Available,Not Available,0.89333,10 out of 10,0 out of 10,Not Available,Not Available,Not Available,33.375,22.5,15,70.875,$792 ,$288 ,$708 ,$690 ,"$1,956 ",$89 ,$433 ,0.87,"27,647"
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,Not Available,19.6,24.8,4.5,14.9,Not Available,Not Available,2.322,0.000,Not Available,0.000,21675,7 out of 10,7 out of 10,7 out of 10,Not Available,9 out of 10,3 out of 10,6 out of 10,2 out of 10,3 out of 10,1 out of 10,3 out of 10,5 out of 10,1 out of 10,10 out of 10,Not Available,0 out of 10,0.87492,4 out of 10,10 out of 10,10 out of 10,8 out of 10,16,13.2,13,6,48.2,"$1,260 ",$134 ,"$1,765 ",$211 ,"$2,071 ",$83 ,$778 ,0.93,"47,057"
10051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,AL,35462,GREENE,Not Available,17.1,19.4,Not Available,13.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$838 ,$179 ,"$2,640 ",$415 ,"$1,799 ",$92 ,$741 ,0.98,"25,773"
10052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,AL,36853,TALLAPOOSA,Not Available,20,21.5,Not Available,18.2,Not Available,Not Available,Not Available,Not Available,Not Available,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0 out of 10,6 out of 10,3 out of 10,0 out of 10,0 out of 10,6 out of 10,3 out of 10,0 out of 10,0 out of 10,Not Available,Not Available,0.88835,0 out of 10,0 out of 10,Not Available,Not Available,Not Available,12.75,18.75,7.5,39,$999 ,$337 ,"$1,562 ",$638 ,"$1,799 ",$102 ,$512 ,0.90,"41,122"
10054,DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS,1874 BELTLINE RD SW,DECATUR,AL,35601,MORGAN,Not Available,20.4,22.9,5,16.9,Not Available,Not Available,Not Available,Not Available,Not Available,0.362,21641,Not Available,Not Available,Not Available,Not Available,Not Available,0 out of 10,0 out of 10,3 out of 10,0 out of 10,0 out of 10,3 out of 10,0 out of 10,0 out of 10,0 out of 10,Not Available,2 out of 10,0.86981,0 out of 10,0 out of 10,Not Available,Not Available,Not Available,7.875,15,7.5,30.375,$778 ,$243 ,"$1,865 ",$279 ,"$2,656 ",$91 ,$894 ,0.94,"38,538"
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,HOUSTON,15.7,17.8,21.8,4.6,15.6,0.794,1.018,0.624,0.000,0.915,0.596,21619,10 out of 10,10 out of 10,9 out of 10,8 out of 10,10 out of 10,3 out of 10,4 out of 10,1 out of 10,4 out of 10,6 out of 10,3 out of 10,5 out of 10,6 out of 10,5 out of 10,0 out of 10,0 out of 10,0.91387,10 out of 10,10 out of 10,10 out of 10,10 out of 10,17.6363636364,15.6,11.4,0,44.6363636364,"$1,121 ",$184 ,"$2,554 ",$409 ,"$2,505 ",$107 ,$901 ,1.01,"60,075"
10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,JEFFERSON,17.3,20.4,20.9,5.5,15.4,0.458,0.322,1.263,0.000,0.677,0.948,21876,5 out of 10,7 out of 10,9 out of 10,7 out of 10,10 out of 10,4 out of 10,5 out of 10,2 out of 10,3 out of 10,4 out of 10,1 out of 10,6 out of 10,6 out of 10,7 out of 10,3 out of 10,0 out of 10,0.90351,10 out of 10,10 out of 10,8 out of 10,9 out of 10,17.0909090909,15.3,16.8,0,49.1909090909,"$1,107 ",$122 ,"$3,154 ",$452 ,"$2,135 ",$121 ,"$1,117 ",1.03,"31,884"
10058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,BIBB,Not Available,Not Available,Not Available,Not Available,17.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$455 ,$407 ,"$1,529 ",$461 ,"$5,853 ",$43 ,$543 ,1.06,"38,786"
10059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,35650,LAWRENCE,Not Available,21.2,25.9,Not Available,16.7,Not Available,Not Available,Not Available,Not Available,Not Available,0.478,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6 out of 10,10 out of 10,2 out of 10,2 out of 10,2 out of 10,5 out of 10,2 out of 10,0 out of 10,0 out of 10,Not Available,Not Available,0.88757,0 out of 10,0 out of 10,Not Available,Not Available,Not Available,18.375,18.75,12.5,49.625,$766 ,$243 ,"$1,654 ",$314 ,"$2,519 ",$79 ,$821 ,0.91,"40,757"
10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,JACKSON,Not Available,20.4,22.4,Not Available,16.8,Not Available,1.519,Not Available,Not Available,Not Available,1.481,Not Available,0 out of 10,0 out of 10,2 out of 10,Not Available,0 out of 10,4 out of 10,8 out of 10,4 out of 10,1 out of 10,7 out of 10,5 out of 10,4 out of 10,3 out of 10,3 out of 10,Not Available,1 out of 10,0.88135,0 out of 10,0 out of 10,0 out of 10,5 out of 10,4.8888888889,18,14,14,50.8888888889,$594 ,$286 ,"$1,431 ",$457 ,"$1,927 ",$98 ,$601 ,0.86,"32,727"
10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,GENEVA,Not Available,19.3,19.7,Not Available,16.1,Not Available,Not Available,Not Available,Not Available,Not Available,0.000,Not Available,0 out of 10,0 out of 10,0 out of 10,Not Available,Not Available,2 out of 10,6 out of 10,3 out of 10,5 out of 10,2 out of 10,1 out of 10,2 out of 10,0 out of 10,10 out of 10,Not Available,Not Available,0.88881,0 out of 10,0 out of 10,Not Available,0 out of 10,2.8571428571,15.9,18,10,46.7571428571,"$1,053 ",$161 ,"$1,469 ",$257 ,"$2,517 ",$73 ,$583 ,0.93,"32,768"
10065,RUSSELL HOSPITAL,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,TALLAPOOSA,17.1,18.3,20.8,5.9,17.1,0.000,0.000,Not Available,Not Available,Not Available,0.872,23084,10 out of 10,10 out of 10,1 out of 10,Not Available,0 out of 10,8 out of 10,8 out of 10,7 out of 10,10 out of 10,9 out of 10,6 out of 10,4 out of 10,7 out of 10,0 out of 10,Not Available,0 out of 10,0.88612,6 out of 10,3 out of 10,0 out of 10,0 out of 10,9.4,23.7,16.5,0,49.6,$864 ,$238 ,"$2,427 ",$993 ,"$2,717 ",$124 ,"$1,134 ",1.01,"38,331"
10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,BARBOUR,Not Available,19.8,21.4,Not Available,14.4,Not Available,Not Available,Not Available,Not Available,Not Available,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5 out of 10,7 out of 10,1 out of 10,3 out of 10,4 out of 10,6 out of 10,3 out of 10,0 out of 10,4 out of 10,Not Available,2 out of 10,0.88174,0 out of 10,0 out of 10,Not Available,0 out of 10,7.5,17.4,13,0,37.9,$776 ,$187 ,"$2,179 ",$355 ,"$3,176 ",$48 ,$948 ,1.04,"27,106"
