Zip,Provider Id,Hospital_Name,Address,lat,lng,Expenditures,OP_6,OP_7,SCIP_INF_3,SCIP_CARD_2,SCIP_VTE_2,SCIP_INF_9,PN_6,HF_1,HF_2,IMM_2,Don't recommend,Recommend,Might recommend,Low rating,Medium rating,High rating,Inc. Cat,Inc Cat,Cost category,Efficiency
92262,50243,DESERT REGIONAL MEDICAL CENTER,1150 NORTH INDIAN CANYON DRIVE,33.8377014,-116.5453802,"$19,276",98,99,98,97,98,96,98,99,100,96,5,77,18,6,21,73,1,medium,low,0.0051
66502,170190,MANHATTAN SURGICAL HOSPITAL LLC,1829 COLLEGE AVENUE,40.790278,-73.959722,"$19,500",99,100,99,94,100,100,N/A,N/A,N/A,97,0,95,5,0,9,91,1,medium,low,0.005
66502,170142,MERCY REGIONAL HEALTH CENTER,1823 COLLEGE AVE,39.2016394,-96.6000301,"$17,404",98,100,99,97,100,99,99,93,100,96,2,74,24,5,21,74,1,medium,low,0.0056
60901,140186,RIVERSIDE MEDICAL CENTER,350 N WALL ST,41.124592,-87.882031,"$19,421",100,99,99,100,100,100,98,100,100,100,3,75,22,7,19,74,1,medium,low,0.0051
60901,140155,PRESENCE ST MARYS HOSPITAL,500 W COURT ST,41.1208746,-87.872467,"$18,036",100,97,96,99,98,100,87,97,100,91,3,79,18,5,17,78,1,medium,low,0.0054
65265,260064,AUDRAIN MEDICAL CENTER,620 E MONROE,,,"$15,036",99,99,91,97,99,88,99,94,100,99,4,67,29,6,23,71,1,medium,low,0.0064
92882,50329,CORONA REGIONAL MEDICAL CENTER,800 SOUTH MAIN STREET,33.8724769,-117.5680676,"$22,152",94,100,98,100,98,98,100,92,99,95,11,52,37,13,33,54,2,medium,medium,0.0044
48912,230230,EDWARD W SPARROW HOSPITAL,1215 E MICHIGAN AVENUE,,,"$18,021",97,97,95,97,96,89,97,100,98,92,4,75,21,7,23,70,1,medium,low,0.0053
32224,100151,MAYO CLINIC,4500 SAN PABLO RD,30.2638721,-81.4404411,"$21,839",98,80,96,98,98,98,92,94,100,85,1,92,7,2,8,90,1,medium,medium,0.0043
98104,500064,HARBORVIEW MEDICAL CENTER,325 9TH AVENUE,47.6035175,-122.3230871,"$24,552",100,100,97,100,100,100,96,97,100,93,4,75,21,8,22,70,0,medium,medium,0.004
98101,500005,VIRGINIA MASON MEDICAL CENTER,925 SENECA ST,47.6100079,-122.327633,"$20,359",99,99,99,100,100,97,92,99,100,91,2,84,14,4,16,80,1,medium,medium,0.0048
73858,370007,NEWMAN MEMORIAL HOSPITAL,905 SOUTH MAIN STREET,31.9887447,-102.0740923,"$8,757",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85,2,74,24,6,15,79,1,low,low,0.0097
60010,140291,ADVOCATE GOOD SHEPHERD HOSPITAL,450 WEST HIGHWAY 22,42.1957431,-88.1732213,"$20,732",100,100,99,99,100,98,99,100,100,95,5,76,19,8,20,72,3,medium,medium,0.0048
15701,390173,INDIANA REGIONAL MEDICAL CENTER,835 HOSPITAL ROAD,40.6075465,-79.1565718,"$17,936",98,100,95,94,99,98,90,95,100,99,3,69,28,7,23,70,1,medium,low,0.0054
35211,10103,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST,33.498573,-86.845996,"$19,763",96,98,100,99,100,99,98,99,100,100,4,75,21,7,18,75,0,medium,medium,0.005
35213,10104,TRINITY MEDICAL CENTER,800 MONTCLAIR RD,33.5141986,-86.7485862,"$19,393",100,100,100,100,100,99,98,100,100,100,4,78,18,6,17,77,2,medium,low,0.0051
44223,360150,SUMMA WESTERN RESERVE HOSPITAL,1900 23RD STREET,,,"$19,244",100,99,99,96,99,100,98,100,100,99,4,77,19,6,19,75,1,medium,low,0.0051
33525,100211,BAYFRONT HEALTH DADE CITY,13100 FT KING RD,28.3482543,-82.2002807,"$18,027",99,96,100,97,99,100,97,98,100,99,12,57,31,18,29,53,1,medium,low,0.0055
76201,450743,TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON,3000 N I-35,33.2173129,-97.1654539,"$20,451",99,100,99,99,99,99,100,98,100,100,4,76,20,7,20,73,0,medium,medium,0.0049
95969,50225,FEATHER RIVER HOSPITAL,5974 PENTZ ROAD,39.7571986,-121.5701798,"$17,861",94,99,98,98,100,98,95,96,98,97,4,80,16,5,18,77,1,medium,low,0.0054
95966,50030,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,39.5066146,-121.5409253,"$15,937",88,93,98,95,99,80,90,90,100,93,15,48,37,17,34,49,1,medium,low,0.0058
65065,260186,LAKE REGIONAL HEALTH SYSTEM,54 HOSPITAL DRIVE,38.120781,-92.682524,"$16,462",100,96,97,100,99,98,98,91,99,94,5,63,32,9,24,67,1,medium,low,0.0059
13676,330197,CANTON-POTSDAM HOSPITAL,50 LEROY STREET,44.6770983,-74.9828485,"$13,088",95,81,100,85,98,98,96,96,97,86,3,71,26,6,29,65,0,low,low,0.0071
16001,390168,BUTLER MEMORIAL HOSPITAL,ONE HOSPITAL WAY,40.8666368,-79.8807831,"$19,365",99,99,99,100,100,100,99,96,100,99,2,73,25,6,24,70,1,medium,low,0.0051
93552,50204,PALMDALE REGIONAL MEDICAL CENTER,38600 MEDICAL CENTER DRIVE,34.583051,-118.144895,"$17,799",87,99,98,95,99,100,97,99,100,74,4,78,18,6,17,77,1,medium,low,0.0053
90291,50740,MARINA DEL REY HOSPITAL,4650 LINCOLN BLVD,33.982191,-118.439299,"$21,399",100,100,98,85,98,96,88,30,96,91,12,59,29,16,31,53,1,medium,medium,0.0041
45631,360054,HOLZER MEDICAL CENTER,100 JACKSON PIKE,,,"$18,338",98,97,93,99,99,93,94,84,100,98,6,70,24,8,23,69,1,medium,low,0.0052
48202,230053,HENRY FORD HOSPITAL,2799 W GRAND BLVD,42.3679457,-83.0861113,"$20,172",94,98,99,98,99,92,98,100,100,67,5,70,25,8,23,69,0,medium,medium,0.0047
48201,230273,DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER,4201 ST ANTOINE ST - 3M,42.331427,-83.0457538,"$20,138",93,98,97,98,98,100,98,98,100,97,7,64,29,11,26,63,0,medium,medium,0.0049
48201,230297,KARMANOS CANCER CENTER,4100 JOHN R,42.3522482,-83.0572811,"$22,257",80,96,95,95,99,86,N/A,24,94,71,5,77,18,7,21,72,0,medium,medium,0.0037
48201,230104,HARPER UNIVERSITY HOSPITAL,3990 JOHN R STREET,42.3519774,-83.0566948,"$20,668",98,97,95,99,100,98,99,98,100,100,5,70,25,7,25,68,0,medium,medium,0.0048
97471,380027,MERCY MEDICAL CENTER,2700 NW STEWART PARKWAY,43.2416208,-123.3662358,"$15,184",100,99,100,99,100,100,96,97,100,94,5,57,38,8,29,63,1,medium,low,0.0065
12208,330013,ALBANY MEDICAL CENTER HOSPITAL,43 NEW SCOTLAND AVENUE,42.6534102,-73.7766603,"$20,672",98,99,99,99,97,99,97,98,100,94,6,70,24,10,27,63,1,medium,medium,0.0047
12208,330057,ST PETER'S HOSPITAL,315 SOUTH MANNING BOULEVARD,42.6562037,-73.8035635,"$19,454",99,97,99,98,100,99,95,100,100,94,3,76,21,7,25,68,1,medium,low,0.005
97477,380102,SACRED HEART MEDICAL CENTER - RIVERBEND,3333 RIVERBEND DRIVE,44.0814618,-123.0269385,"$19,910",98,100,99,99,100,98,99,98,100,91,4,77,19,7,18,75,1,medium,medium,0.0049
97477,380020,MCKENZIE-WILLAMETTE MEDICAL CENTER,1460 G STREET,44.0531729,-123.0035629,"$16,567",100,100,100,100,100,100,98,97,100,99,5,75,20,7,21,72,1,medium,low,0.006
12204,330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,42.6740795,-73.7486351,"$17,880",97,99,98,93,98,99,100,100,99,86,8,63,29,10,32,58,1,medium,low,0.0054
10512,330273,PUTNAM HOSPITAL CENTER,670 STONELEIGH AVENUE,41.3832519,-73.6635462,"$19,050",99,98,100,100,100,100,99,100,100,99,2,80,18,4,18,78,2,medium,low,0.0052
79720,450653,SCENIC MOUNTAIN MEDICAL CENTER,1601 W 11TH PLACE,33.4658363,-112.0870172,"$14,346",100,100,86,N/A,100,92,93,98,100,100,9,52,39,12,30,58,1,medium,low,0.0067
95823,50674,KAISER FOUNDATION HOSP SO SACRAMENTO,6600 BRUCEVILLE ROAD,38.4703065,-121.422379,"$17,476",N/A,N/A,100,98,100,99,99,100,100,98,3,75,22,6,21,73,1,medium,low,0.0057
95823,50590,METHODIST HOSPITAL OF SACRAMENTO,7500 HOSPITAL DRIVE,38.462922,-121.4166888,"$17,164",83,100,100,100,96,100,99,100,100,98,6,65,29,10,26,64,1,medium,low,0.0057
35058,10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,34.2000534,-86.806342,"$17,934",100,100,100,100,100,100,100,100,100,98,5,71,24,8,20,72,1,medium,low,0.0056
55125,240213,HEALTHEAST WOODWINDS HOSPITAL,1925 WOODWINDS DRIVE,,,"$17,120",99,99,99,99,100,98,94,96,100,90,2,85,13,3,12,85,2,medium,low,0.0057
73601,370029,INTEGRIS CLINTON REGIONAL HOSPITAL,100 NORTH 30TH STREET,35.5147627,-98.997785,"$12,968",N/A,N/A,100,N/A,100,N/A,99,87,98,100,5,60,35,16,24,60,1,low,low,0.0075
74055,370227,ST JOHN OWASSO,12451 EAST 100TH STREET NORTH,36.2987155,-95.8350541,"$12,743",100,100,100,79,99,N/A,96,96,100,97,4,85,11,6,15,79,1,low,low,0.0076
74055,370228,"BAILEY MEDICAL CENTER, L L C",10502 NORTH 110TH EAST AVENUE,36.3046294,-95.8529556,"$13,046",100,100,100,100,100,100,100,N/A,100,100,3,86,11,5,9,86,1,low,low,0.0077
32055,100156,LAKE CITY MEDICAL CENTER,340 NW COMMERCE DR,30.1833974,-82.6878316,"$16,107",100,93,100,100,100,100,100,100,100,99,4,74,22,8,23,69,0,medium,low,0.0062
32055,100102,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,368 NE FRANKLIN ST,30.1932508,-82.6331506,"$14,705",N/A,N/A,100,N/A,86,100,88,83,96,93,11,51,38,20,30,50,0,medium,low,0.0063
57783,430048,SPEARFISH REGIONAL HOSPITAL,1440 N MAIN ST,44.4908172,-103.8593698,"$17,905",97,100,98,94,99,100,88,N/A,95,94,4,71,25,7,20,73,1,medium,low,0.0054
90028,50135,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVE,34.0964446,-118.3251971,"$22,707",99,100,91,97,96,97,98,96,99,92,19,49,32,20,29,51,0,medium,medium,0.0042
90028,50063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 N VERMONT AVE,34.096443,-118.2910796,"$23,063",91,83,93,83,95,96,90,99,94,85,12,61,27,16,24,60,0,medium,medium,0.0039
26062,510023,WEIRTON MEDICAL CENTER,601 COLLIERS WAY,40.3954882,-80.5280439,"$17,858",92,98,95,98,100,99,95,96,100,87,6,51,43,15,36,49,1,medium,low,0.0054
75093,450771,TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO,6200 W PARKER RD,33.044049,-96.838532,"$22,608",94,91,100,100,100,99,99,99,100,98,2,85,13,4,14,82,2,medium,medium,0.0043
75093,450890,BAYLOR REGIONAL MEDICAL CENTER AT PLANO,4700 ALLIANCE BOULEVARD,33.0135998,-96.7890363,"$24,069",100,100,100,99,100,100,100,100,100,99,2,86,12,4,15,81,2,medium,medium,0.0041
75093,670025,THE HEART HOSPITAL BAYLOR PLANO,1100 ALLIED DRIVE,33.0147353,-96.7896713,"$30,654",99,98,99,100,100,100,N/A,99,100,100,1,93,6,2,7,91,2,high,medium,0.0032
75093,450891,TEXAS HEALTH CENTER FOR DIAGNOSTICS & SURGERY PLAN,6020 W PARKER ROAD,31.9685988,-99.9018131,"$24,600",100,99,95,N/A,99,N/A,N/A,N/A,N/A,98,1,88,11,2,10,88,2,medium,medium,0.004
75090,670076,HERITAGE PARK SURGICAL HOSPITAL,3601 CALAIS DRIVE,33.6767404,-96.6017716,"$22,894",93,95,99,100,97,100,N/A,N/A,N/A,88,1,92,7,1,9,90,1,medium,medium,0.0042
38606,250128,TRI LAKES MEDICAL CENTER,303 MEDICAL CENTER DRIVE,34.306973,-89.91569,"$13,150",N/A,N/A,N/A,N/A,N/A,N/A,97,93,100,96,13,53,34,21,21,58,0,low,low,0.0073
42754,180070,TWIN LAKES REGIONAL MEDICAL CENTER,910 WALLACE AVENUE,37.4726483,-86.2888507,"$17,140",100,97,100,100,99,100,94,83,99,97,4,67,29,8,21,71,0,medium,low,0.0057
15132,390002,UPMC MCKEESPORT,1500 FIFTH AVENUE,40.3514984,-79.849472,"$19,113",86,90,99,98,99,100,99,100,99,99,4,64,32,8,28,64,0,medium,low,0.0051
15136,390157,OHIO VALLEY GENERAL HOSPITAL,25 HECKEL ROAD,40.4715761,-80.0915915,"$22,358",96,96,95,100,97,92,96,85,100,93,8,62,30,12,23,65,1,medium,medium,0.0042
31768,110105,COLQUITT REGIONAL MEDICAL CENTER,3131 THOMASVILLE HWY BOX 40,31.1712935,-84.7332527,"$16,284",97,97,99,100,100,100,100,100,100,92,5,63,32,7,22,71,0,medium,low,0.006
78114,450108,CONNALLY MEMORIAL MEDICAL CENTER,499 10TH STREET,29.160107,-98.1743,"$17,434",N/A,N/A,100,N/A,100,100,91,100,100,97,7,65,28,6,28,66,1,medium,low,0.0056
72211,40134,ARKANSAS HEART HOSPITAL,1701 S SHACKLEFORD ROAD,34.73868,-92.393067,"$18,034",100,100,100,100,100,100,100,100,100,97,1,95,4,1,8,91,1,medium,low,0.0055
47250,150069,KING'S DAUGHTERS' HEALTH,1373 EAST SR 62,38.7925494,-85.3642551,"$15,863",98,95,97,94,94,93,93,92,99,98,4,69,27,8,22,70,1,medium,low,0.006
77065,450716,CYPRESS FAIRBANKS MEDICAL CENTER,10655 STEEPLETOP DRIVE,29.928047,-95.588811,"$21,567",98,94,94,100,100,99,98,97,99,98,5,70,25,8,23,69,1,medium,medium,0.0045
70301,190004,THIBODAUX REGIONAL MEDICAL CENTER,602 N ACADIA ROAD,29.780993,-90.8064663,"$18,899",100,98,100,99,99,100,99,100,100,96,3,84,13,6,14,80,1,medium,low,0.0052
45342,360239,SYCAMORE MEDICAL CENTER,4000 MIAMISBURG-CENTERVILLE ROAD,39.6377829,-84.2496374,"$18,382",99,97,100,99,100,96,97,98,100,98,4,76,20,6,17,77,1,medium,low,0.0054
14302,330065,NIAGARA FALLS MEMORIAL MEDICAL CENTER,621 TENTH STREET,43.0938382,-79.0503323,"$13,718",99,99,99,100,97,95,100,86,99,91,9,54,37,16,29,55,0,medium,low,0.007
78582,450654,STARR COUNTY MEMORIAL HOSPITAL,128  N FM RD 3167,26.6215167,-98.7481167,"$13,143",92,0,N/A,N/A,N/A,N/A,84,44,59,79,7,64,29,9,27,64,0,low,low,0.0045
49058,230040,PENNOCK HOSPITAL,1009 W GREEN ST,42.6447628,-85.3028402,"$15,047",100,100,96,96,98,94,98,100,100,97,3,72,25,4,23,73,1,medium,low,0.0065
79045,450155,HEREFORD REGIONAL MEDICAL CENTER,801 EAST THIRD,34.8211652,-102.3913183,"$13,183",N/A,N/A,89,N/A,100,86,86,19,89,58,4,56,40,8,30,62,1,low,low,0.0057
94133,50407,CHINESE HOSPITAL,845 JACKSON ST,37.7954961,-122.4089419,"$15,542",75,81,98,66,93,89,97,92,100,95,10,48,42,15,39,46,1,medium,low,0.0057
60429,140250,ADVOCATE SOUTH SUBURBAN HOSPITAL,17800 S KEDZIE AVE,41.5662749,-87.6972301,"$19,634",99,99,99,100,100,100,95,98,100,96,6,66,28,10,23,67,1,medium,medium,0.005
90623,50580,LA PALMA INTERCOMMUNITY HOSPITAL,7901 WALKER STREET,33.847533,-118.038414,"$24,037",N/A,N/A,100,100,100,100,95,100,100,99,11,63,26,15,29,56,2,medium,medium,0.0041
60426,140191,INGALLS MEMORIAL HOSPITAL,ONE INGALLS DRIVE,41.607243,-87.6595978,"$19,477",97,100,99,100,100,100,100,100,100,100,5,65,30,12,25,63,0,medium,low,0.0051
95661,50309,SUTTER ROSEVILLE MEDICAL CENTER,ONE MEDICAL PLAZA,38.765139,-121.249789,"$17,911",99,99,98,93,98,97,98,97,100,99,3,80,17,6,19,75,2,medium,low,0.0055
95661,50772,KAISER FOUNDATION HOSPITAL - ROSEVILLE,1600 EUREKA ROAD,38.7465271,-121.2504437,"$13,307",N/A,N/A,100,100,100,100,100,100,100,99,2,82,16,5,16,79,2,low,low,0.0075
95667,50254,MARSHALL MEDICAL CENTER,1100 MARSHALL WAY,38.7251674,-120.790749,"$17,788",100,100,100,99,99,97,99,96,100,97,3,75,22,7,19,74,1,medium,low,0.0055
34285,100070,VENICE REGIONAL MEDICAL CENTER - BAYFRONT HEALTH,540 THE RIALTO,45.4408474,12.3155151,"$21,369",100,100,100,100,100,100,100,100,100,100,9,63,28,14,30,56,1,medium,medium,0.0047
59501,270032,NORTHERN MONTANA HOSPITAL,30 13TH ST,48.5368179,-109.685773,"$12,780",100,100,100,94,100,100,94,75,86,87,5,48,47,12,35,53,1,low,low,0.0073
78681,450718,ROUND ROCK MEDICAL CENTER,2400 ROUND ROCK AVE,30.5107826,-97.7143623,"$20,184",100,99,100,100,100,100,99,100,100,99,4,77,19,6,18,76,2,medium,medium,0.0049
66215,170176,OVERLAND PARK REG MED CTR,10500 QUIVIRA ROAD,38.9371818,-94.7253632,"$21,270",100,100,100,100,99,99,100,100,100,100,7,68,25,10,24,66,2,medium,medium,0.0047
50309,160082,IOWA METHODIST MEDICAL CENTER,1200 PLEASANT STREET,41.589545,-93.632483,"$19,756",99,98,98,99,99,100,92,93,99,89,3,79,18,5,20,75,0,medium,medium,0.0049
66211,170194,DOCTORS HOSPITAL LLC,4901 COLLEGE BLVD,,,"$25,138",95,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47,3,78,19,7,6,87,2,medium,medium,0.0032
66211,170188,KANSAS CITY ORTHOPAEDIC INSTITUTE,3651 COLLEGE BLVD,38.926791,-94.627968,"$19,255",N/A,N/A,100,100,100,N/A,N/A,N/A,N/A,96,1,89,10,3,10,87,2,medium,low,0.0051
66213,170185,SAINT LUKE'S SOUTH HOSPITAL,12300 METCALF AVENUE,38.903555,-94.669659,"$18,155",99,99,100,100,100,99,93,90,100,93,5,77,18,8,20,72,2,medium,low,0.0054
79556,450055,ROLLING PLAINS MEMORIAL HOSPITAL,200 E ARIZONA,32.4527764,-100.3982221,"$14,258",N/A,N/A,100,N/A,100,N/A,100,100,100,99,1,71,28,5,22,73,1,medium,low,0.007
79553,450306,STAMFORD MEMORIAL HOSPITAL,1601 COLUMBIA STREET,32.9277233,-99.7828572,"$9,193",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81,0,69,31,8,19,73,0,low,low,0.0088
73013,370225,SUMMIT MEDICAL CENTER,1800 SOUTH RENAISSANCE BOULEVARD,33.2727652,-111.7755885,"$23,879",99,100,100,N/A,96,N/A,N/A,N/A,N/A,63,1,83,16,5,17,78,2,medium,medium,0.0038
73018,370054,GRADY MEMORIAL HOSPITAL,2220 IOWA STREET,35.0489598,-97.9613296,"$15,465",92,100,83,N/A,91,56,92,93,96,78,6,62,32,10,25,65,1,medium,low,0.0056
32935,100291,WUESTHOFF MEDICAL CENTER - MELBOURNE,250 NORTH WICKHAM ROAD,28.1096891,-80.6728031,"$21,489",99,94,94,96,98,99,97,80,100,100,15,58,27,21,24,55,1,medium,medium,0.0045
39845,110194,DONALSONVILLE HOSPITAL INC,102 HOSPITAL CIR,31.0404625,-84.8790911,"$9,110",N/A,N/A,75,N/A,90,N/A,76,86,86,60,2,70,28,6,19,75,1,low,low,0.0087
57570,430084,PHS INDIAN HOSPITAL AT ROSEBUD,400 SOLDIER CREEK ROAD,43.2831381,-100.8705174,"$9,566",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33,20,19,61,38,17,45,0,low,low,0.0034
70546,190053,JENNINGS AMERICAN LEGION HOSPITAL,1634 ELTON ROAD,30.2391329,-92.6620545,"$17,026",100,100,100,93,100,100,99,100,100,97,4,67,29,7,20,73,0,medium,low,0.0058
84759,460033,GARFIELD MEMORIAL HOSPITAL,200 NORTH 400 EAST,37.8264028,-112.4268264,"$10,916",N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,94,0,85,15,3,15,82,1,low,low,0.0089
41339,180139,KENTUCKY RIVER MEDICAL CENTER,540 JETT DRIVE,37.8393332,-84.2700179,"$12,227",100,100,89,100,100,100,98,100,98,100,5,68,27,7,20,73,0,low,low,0.0081
86442,30101,WESTERN ARIZONA REGIONAL MEDICAL CENTER,2735 SILVER CREEK ROAD,33.3479706,-111.7524929,"$15,456",100,94,99,100,99,100,100,100,100,100,5,71,24,8,23,69,1,medium,low,0.0064
40065,180016,JEWISH HOSPITAL - SHELBYVILLE,727 HOSPITAL DRIVE,38.2092807,-85.2356953,"$18,348",71,100,100,88,100,90,91,72,99,97,5,66,29,5,30,65,1,medium,low,0.0049
14141,330111,BERTRAND CHAFFEE HOSPITAL,224 EAST MAIN STREET,42.5093472,-78.658667,"$13,505",N/A,N/A,N/A,N/A,N/A,N/A,87,100,80,94,5,65,30,11,27,62,1,medium,low,0.0067
47591,150042,GOOD SAMARITAN HOSPITAL,520 S 7TH ST,38.6729465,-87.5326143,"$19,426",96,99,99,100,100,98,98,71,99,99,2,78,20,4,17,79,1,medium,low,0.0049
31513,110071,APPLING HOSPITAL,163 E TOLLISON STREET,31.768733,-82.34931,"$13,385",N/A,N/A,N/A,N/A,N/A,N/A,80,73,78,72,10,51,39,12,34,54,1,medium,low,0.0057
19468,390324,PHYSICIAN'S CARE SURGICAL HOSPITAL,454 ENTERPRISE DRIVE,40.2163249,-75.5534108,"$30,973",N/A,N/A,100,90,94,100,N/A,N/A,N/A,90,1,94,5,2,6,92,2,high,medium,0.0031
19464,390123,POTTSTOWN MEMORIAL MEDICAL CENTER,1600 EAST HIGH STREET AND ARMAND HAMMER BLVD,40.2453741,-75.6496302,"$19,299",98,91,100,98,99,98,99,99,100,99,10,52,38,14,32,54,1,medium,low,0.0051
19460,390127,PHOENIXVILLE HOSPITAL,140 NUTT ROAD,40.1234358,-75.5149316,"$20,050",98,98,99,98,100,99,100,100,100,97,4,75,21,6,20,74,2,medium,medium,0.0049
88310,320004,GERALD CHAMPION REGIONAL MEDICAL CENTER,2669 NORTH SCENIC DRIVE,32.9237336,-105.9335181,"$16,772",N/A,N/A,100,84,97,83,93,89,92,90,9,53,38,14,28,58,1,medium,low,0.0054
46714,150075,BLUFFTON REGIONAL MEDICAL CENTER,303 S MAIN ST,40.7374106,-85.1711496,"$14,436",100,100,98,100,100,100,100,100,100,100,3,73,24,6,19,75,1,medium,low,0.0069
13326,330136,MARY IMOGENE BASSETT HOSPITAL,ONE ATWELL ROAD,,,"$17,766",99,99,97,99,98,98,91,98,100,98,6,66,28,11,26,63,0,medium,low,0.0055
38851,250017,TRACE REGIONAL HOSP AND SWING BED,1002 EAST MADISON STREET,,,"$12,843",N/A,N/A,N/A,N/A,N/A,N/A,79,N/A,76,67,19,40,41,27,27,46,0,low,low,0.0058
38852,250002,TISHOMINGO HEALTH SERVICES INC,1777 CURTIS DRIVE,34.2362054,-96.6786131,"$14,141",N/A,N/A,N/A,N/A,N/A,N/A,90,100,100,95,3,77,20,6,14,80,1,medium,low,0.0068
12983,330079,ADIRONDACK MEDICAL CENTER,2233 STATE ROUTE 86,44.3455195,-74.1434669,"$16,260",91,98,99,97,95,99,89,83,100,95,2,73,25,6,24,70,1,medium,low,0.0058
41075,180001,ST ELIZABETH FT THOMAS,85 NORTH GRAND AVENUE,39.0778118,-84.464846,"$15,891",100,99,100,100,100,100,99,100,100,100,5,67,28,6,25,69,1,medium,low,0.0063
